O=C(NC1c2ccccc2CC1O)C(OCc1ccccc1)C(O)C(O)C(OCc1ccccc1)C(=O)NC1c2ccccc2CC1O OC(C(OCc1ccccc1)[*:1])[*:2] O=C(NC1c2ccccc2CC1O)C(OCc1ccccc1)C(O)[*:2].O=C(NC1c2ccccc2CC1O)[*:1]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[*:2])CC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CC[NH2+][*:1])CC[*:2] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[*:2])CC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[*:1])CCC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[*:2])CCC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCCC[*:2])CCCC[NH2+][*:1] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CC[*:2])C[NH2+][*:1] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCCCC[*:2])CCCCC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+][*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[*:2])CCC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[*:2])CCC[NH2+][*:1] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[*:1])CCC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CC[*:1])CC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[NH2+][*:1])CCC[*:2] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[*:1])CCCC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[*:2])CCC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CC[*:1])CC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCCC[*:1])CCCCC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[*:2])CC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCC[*:2])CC[NH2+][*:1] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCCC[*:2])CCCC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CC[*:1])CC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]C[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CC[*:1])CC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[NH2+][*:1])CCCC[*:2] O=c1ccc2c([nH]1)CCCC2[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+]CCC[*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCCC[*:2])CCCC[*:1] O=c1ccc2c([nH]1)CCCC2[NH2+]CC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
O=c1ccc2c([nH]1)CCCC2[NH2+]CCCCCCCCCCCC[NH2+]C1CCCc2[nH]c(=O)ccc21 C(CCCC[*:1])CCCC[*:2] O=c1ccc2c([nH]1)CCCC2[NH2+]CCC[*:1].O=c1ccc2c([nH]1)CCCC2[NH2+][*:2]
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl Clc1c(C[*:2])csc1[*:1] CN(C1=NCCO1)[*:2].COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)[*:1]
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl COc1cc(Cl)cc([*:1])c1[*:2] CN(Cc1csc(C(=O)N[*:2])c1Cl)C1=NCCO1.O=C(Nc1ccc(Cl)cn1)[*:1]
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl Clc1c([*:2])csc1[*:1] CN(C[*:2])C1=NCCO1.COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)[*:1]
CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1 c1cc([*:2])nc([*:1])n1 CNc1nc(C)c([*:2])s1.Oc1ccc(N[*:1])cc1
CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1 c1cc([*:2])nc(N[*:1])n1 CNc1nc(C)c([*:2])s1.Oc1ccc([*:1])cc1
O=S(=O)(NCC[NH2+]C/C=C/c1ccc(Br)cc1)c1cccc2cnccc12 O=S(=O)(NCC[NH2+]C[*:1])[*:2] Brc1ccc(C=C[*:1])cc1.c1cc([*:2])c2ccncc2c1
O=S(=O)(NCC[NH2+]C/C=C/c1ccc(Br)cc1)c1cccc2cnccc12 C(=C[*:2])C[NH2+]CC[*:1] Brc1ccc([*:2])cc1.O=S(=O)(N[*:1])c1cccc2cnccc12
O=S(=O)(NCC[NH2+]C/C=C/c1ccc(Br)cc1)c1cccc2cnccc12 O=S(=O)(NCC[NH2+][*:1])[*:2] Brc1ccc(C=CC[*:1])cc1.c1cc([*:2])c2ccncc2c1
O=S(=O)(NCC[NH2+]C/C=C/c1ccc(Br)cc1)c1cccc2cnccc12 C(=C[*:2])C[NH2+]C[*:1] Brc1ccc([*:2])cc1.O=S(=O)(NC[*:1])c1cccc2cnccc12
O=S(=O)(NCC[NH2+]C/C=C/c1ccc(Br)cc1)c1cccc2cnccc12 O=S(=O)(NC[*:1])[*:2] Brc1ccc(C=CC[NH2+]C[*:1])cc1.c1cc([*:2])c2ccncc2c1
O=S(=O)(NCC[NH2+]C/C=C/c1ccc(Br)cc1)c1cccc2cnccc12 O=S(=O)(NCC[*:1])[*:2] Brc1ccc(C=CC[NH2+][*:1])cc1.c1cc([*:2])c2ccncc2c1
C[NH+](C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1 Fc1cc([*:2])ccc1[*:1] C[NH+](C)Cc1nccn1[*:2].Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)N[*:1])cc12
C[NH+](C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1 FC(F)(F)c1cc([*:1])n([*:2])n1 C[NH+](C)Cc1nccn1-c1ccc(NC(=O)[*:1])c(F)c1.Nc1noc2ccc([*:2])cc12
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(C[*:1])C(=O)N[*:2] N#Cc1ccc([*:2])cc1C(F)(F)F.O=S(=O)(c1ccc(F)cc1)[*:1]
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(CS(=O)(=O)[*:2])[*:1] Fc1ccc([*:2])cc1.N#Cc1ccc(NC(=O)[*:1])cc1C(F)(F)F
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(C(=O)N[*:2])[*:1] N#Cc1ccc([*:2])cc1C(F)(F)F.O=S(=O)(C[*:1])c1ccc(F)cc1
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N Nc1nc([*:2])ncc1[*:1] COc1ccc(F)c(F)c1C(=O)[*:1].CS(=O)(=O)N1CCC(N[*:2])CC1
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N Nc1nc([*:1])ncc1C(=O)[*:2] COc1ccc(F)c(F)c1[*:2].CS(=O)(=O)N1CCC(N[*:1])CC1
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N Nc1nc(N[*:1])ncc1C(=O)[*:2] COc1ccc(F)c(F)c1[*:2].CS(=O)(=O)N1CCC([*:1])CC1
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N Nc1nc(N[*:2])ncc1[*:1] COc1ccc(F)c(F)c1C(=O)[*:1].CS(=O)(=O)N1CCC([*:2])CC1
COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CC[NH+](C)CC4)cc3)c2C1)c1ccccc1 c1cc([*:2])ccc1[*:1] COC(C(=O)N1Cc2[nH]nc(NC(=O)[*:1])c2C1)c1ccccc1.C[NH+]1CCN([*:2])CC1
COc1cccc(C[NH2+]CC(O)C(Cc2ccccc2)NC(=O)c2cc(C(=O)NC(C)c3ccccc3)cc(N(C)S(C)(=O)=O)c2)c1 O=C(NC(Cc1ccccc1)[*:1])[*:2] CC(NC(=O)c1cc(N(C)S(C)(=O)=O)cc([*:2])c1)c1ccccc1.COc1cccc(C[NH2+]CC(O)[*:1])c1
COc1cccc(C[NH2+]CC(O)C(Cc2ccccc2)NC(=O)c2cc(C(=O)NC(C)c3ccccc3)cc(N(C)S(C)(=O)=O)c2)c1 CC(NC(=O)[*:1])[*:2] COc1cccc(C[NH2+]CC(O)C(Cc2ccccc2)NC(=O)c2cc(N(C)S(C)(=O)=O)cc([*:1])c2)c1.c1ccc([*:2])cc1
O=C(Nc1ccc(Cl)cn1)C1C[NH+](CC(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F Fc1cc([*:2])ccc1[*:1] O=C(Nc1ccc(Cl)cn1)C1C[NH+](CC(F)F)CC1C(=O)N[*:1].O=c1ccccn1[*:2]
C[N+](C)(C)CCCN1C(=O)C2C(C1=O)C(c1coc(-c3ccc(Cl)s3)n1)[NH+]1CCCC21 c1oc([*:2])nc1[*:1] C[N+](C)(C)CCCN1C(=O)C2C(C1=O)C([*:1])[NH+]1CCCC21.Clc1ccc([*:2])s1
Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)NCC4CC4)cc3)c2)o1 c1cc([*:2])ccc1[*:1] Cc1nnc(-c2ccc(C)c([*:2])c2)o1.O=C(NCC1CC1)[*:1]
OC1(c2ccc(-c3ccccc3)cc2)C[NH+]2CCC1CC2 c1cc([*:2])ccc1[*:1] OC1([*:1])C[NH+]2CCC1CC2.c1ccc([*:2])cc1
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CCCC[*:2])CCC[*:1] CC1C=C(N)c2ccccc2N1C=C[*:1].Cc1cc(=N)c2ccccc2n1[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CC[*:1])CC[*:2] CC1C=C(N)c2ccccc2N1C=CCC[*:1].Cc1cc(=N)c2ccccc2n1C[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CC[*:1])CC[*:2] CC1C=C(N)c2ccccc2N1C=CCCC[*:1].Cc1cc(=N)c2ccccc2n1[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CCC[*:2])CC[*:1] CC1C=C(N)c2ccccc2N1C=C[*:1].Cc1cc(=N)c2ccccc2n1CC[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(=C[*:2])CCCCCC[*:1] CC1C=C(N)c2ccccc2N1[*:2].Cc1cc(=N)c2ccccc2n1CC[*:1]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(=C[*:2])CCCCCCC[*:1] CC1C=C(N)c2ccccc2N1[*:2].Cc1cc(=N)c2ccccc2n1C[*:1]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(=C[*:2])CCCCC[*:1] CC1C=C(N)c2ccccc2N1[*:2].Cc1cc(=N)c2ccccc2n1CCC[*:1]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(=C[*:2])CCCC[*:1] CC1C=C(N)c2ccccc2N1[*:2].Cc1cc(=N)c2ccccc2n1CCCC[*:1]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CCC[*:1])CCC[*:2] CC1C=C(N)c2ccccc2N1C=CC[*:1].Cc1cc(=N)c2ccccc2n1[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CCC[*:2])CC[*:1] CC1C=C(N)c2ccccc2N1C=CCC[*:1].Cc1cc(=N)c2ccccc2n1[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CC[*:1])CC[*:2] CC1C=C(N)c2ccccc2N1C=CC[*:1].Cc1cc(=N)c2ccccc2n1CC[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CC[*:1])CC[*:2] CC1C=C(N)c2ccccc2N1C=C[*:1].Cc1cc(=N)c2ccccc2n1CCC[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CCC[*:1])CCC[*:2] CC1C=C(N)c2ccccc2N1C=C[*:1].Cc1cc(=N)c2ccccc2n1C[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(=C[*:1])CCCCCCCC[*:2] CC1C=C(N)c2ccccc2N1[*:1].Cc1cc(=N)c2ccccc2n1[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(CCC[*:2])CC[*:1] CC1C=C(N)c2ccccc2N1C=CC[*:1].Cc1cc(=N)c2ccccc2n1C[*:2]
Cc1cc(=N)c2ccccc2n1CCCCCCCC/C=C/N1c2ccccc2C(N)=CC1C C(=C[*:2])CCC[*:1] CC1C=C(N)c2ccccc2N1[*:2].Cc1cc(=N)c2ccccc2n1CCCCC[*:1]
CC(O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(C[*:1])C(=O)N[*:2] Fc1cc(O[*:1])ccc1Cl.N#Cc1ccc([*:2])cc1C(F)(F)F
CC(O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(C(=O)N[*:2])[*:1] Fc1cc(OC[*:1])ccc1Cl.N#Cc1ccc([*:2])cc1C(F)(F)F
CC(O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(CO[*:2])C(=O)N[*:1] Fc1cc([*:2])ccc1Cl.N#Cc1ccc([*:1])cc1C(F)(F)F
CC(O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 CC(O)(CO[*:2])[*:1] Fc1cc([*:2])ccc1Cl.N#Cc1ccc(NC(=O)[*:1])cc1C(F)(F)F
CC(O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(I)c1 CC(O)(C[*:1])C(=O)N[*:2] N#Cc1ccc(O[*:1])cc1.N#Cc1ccc([*:2])cc1I
CC(O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(I)c1 CC(O)(CO[*:2])C(=O)N[*:1] N#Cc1ccc([*:1])cc1I.N#Cc1ccc([*:2])cc1
CC(O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(I)c1 CC(O)(CO[*:2])[*:1] N#Cc1ccc(NC(=O)[*:1])cc1I.N#Cc1ccc([*:2])cc1
CC(O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(I)c1 CC(O)(C(=O)N[*:2])[*:1] N#Cc1ccc(OC[*:1])cc1.N#Cc1ccc([*:2])cc1I
CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1 CC(O)(CO[*:1])C(=O)N[*:2] CC(=O)Nc1ccc([*:1])cc1.O=[N+]([O-])c1ccc([*:2])cc1C(F)(F)F
CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1 CC(O)(C(=O)N[*:2])[*:1] CC(=O)Nc1ccc(OC[*:1])cc1.O=[N+]([O-])c1ccc([*:2])cc1C(F)(F)F
CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1 CC(O)(C[*:1])C(=O)N[*:2] CC(=O)Nc1ccc(O[*:1])cc1.O=[N+]([O-])c1ccc([*:2])cc1C(F)(F)F
